16-09-26 09:32:29.645 INFO com.mycompany.script.ScriptExeApplication [main] Starting ScriptExeApplication v1.0 on nova-All-Series with PID 11911 (/home/data/WORK/ScriptExe/prod-example/script-exe-1.0.jar started by nova in /home/data/WORK/ScriptExe/prod-example)
16-09-26 09:32:29.647 DEBUG com.mycompany.script.ScriptExeApplication [main] Running with Spring Boot v1.4.1.RELEASE, Spring v4.3.3.RELEASE
16-09-26 09:32:29.648 INFO com.mycompany.script.ScriptExeApplication [main] No active profile set, falling back to default profiles: default
16-09-26 09:32:32.790 TRACE com.mycompany.script.config.DbInitConfig$$EnhancerBySpringCGLIB$$c67ee979 [main] db-init
16-09-26 09:32:32.814 TRACE com.mycompany.script.config.DbInitConfig$$EnhancerBySpringCGLIB$$c67ee979 [main] tableExists=true
16-09-26 09:32:34.256 INFO com.mycompany.script.ScriptExeApplication [main] Started ScriptExeApplication in 5.059 seconds (JVM running for 5.769)
16-09-26 09:32:45.063 TRACE com.mycompany.script.components.TaskComponent [http-nio-2001-exec-5] sending task=2, nextStart=2016-09-26T09:33:00.000+0300, isEnabled=true, isRunning=false
16-09-26 09:33:04.254 TRACE com.mycompany.script.components.TaskComponent [MessageBroker-2] sending task=2, nextStart=2016-09-26T09:33:00.000+0300, isEnabled=true, isRunning=false
16-09-26 09:34:04.265 TRACE com.mycompany.script.components.TaskComponent [MessageBroker-4] sending task=2, nextStart=2016-09-26T09:34:00.000+0300, isEnabled=true, isRunning=false
16-09-26 09:35:04.270 TRACE com.mycompany.script.components.TaskComponent [MessageBroker-4] sending task=2, nextStart=2016-09-26T09:35:00.000+0300, isEnabled=true, isRunning=false
16-09-26 09:36:04.275 TRACE com.mycompany.script.components.TaskComponent [MessageBroker-4] sending task=2, nextStart=2016-09-26T09:36:00.000+0300, isEnabled=true, isRunning=false
16-09-26 09:37:04.280 TRACE com.mycompany.script.components.TaskComponent [MessageBroker-4] sending task=2, nextStart=2016-09-26T09:37:00.000+0300, isEnabled=true, isRunning=false
16-09-26 09:38:04.284 TRACE com.mycompany.script.components.TaskComponent [MessageBroker-4] sending task=2, nextStart=2016-09-26T09:38:00.000+0300, isEnabled=true, isRunning=false
16-09-26 09:39:04.289 TRACE com.mycompany.script.components.TaskComponent [MessageBroker-4] sending task=2, nextStart=2016-09-26T09:39:00.000+0300, isEnabled=true, isRunning=false
16-09-26 09:40:04.294 TRACE com.mycompany.script.components.TaskComponent [MessageBroker-4] sending task=2, nextStart=2016-09-26T09:40:00.000+0300, isEnabled=true, isRunning=false
16-09-26 09:41:04.298 TRACE com.mycompany.script.components.TaskComponent [MessageBroker-2] sending task=2, nextStart=2016-09-26T09:41:00.000+0300, isEnabled=true, isRunning=false
16-09-26 09:42:04.302 TRACE com.mycompany.script.components.TaskComponent [MessageBroker-2] sending task=2, nextStart=2016-09-26T09:42:00.000+0300, isEnabled=true, isRunning=false
16-09-26 09:43:04.307 TRACE com.mycompany.script.components.TaskComponent [MessageBroker-2] sending task=2, nextStart=2016-09-26T09:43:00.000+0300, isEnabled=true, isRunning=false
16-09-26 09:44:04.311 TRACE com.mycompany.script.components.TaskComponent [MessageBroker-2] sending task=2, nextStart=2016-09-26T09:44:00.000+0300, isEnabled=true, isRunning=false
